0,245.6,0,245.6
0.8,120,1.5979,113
1.597,117,3.19,95.2
2.4,93.2,4.77,45
3.19,79.9,6.359,19.2
3.984,65.4,7.937,13.7
4.777,50.6,,
5.569,38.3,,
6.359,22.5,,
7.2,20.1,,
